Entidad, API_CODE
Aguascalientes ,SE29670
 Baja California ,SE29671
 Baja California Sur ,SE29672
 Campeche ,SE29673
 Coahuila ,SE29674
 Colima ,SE29675
 Chiapas ,SE29676
 Chihuahua ,SE29677
 Ciudad de México ,SE29678
 Durango ,SE29679
 Estado de México ,SE29680
 Guanajuato ,SE29681
 Guerrero ,SE29682
 Hidalgo ,SE29683
 Jalisco ,SE29684
 Michoacán ,SE29685
 Morelos ,SE29686
 Nayarit ,SE29687
 Nuevo León ,SE29688
 Oaxaca ,SE29689
 Puebla ,SE29690
 Querétaro ,SE29691
 Quintana Roo ,SE29692
 San Luis Potosí ,SE29693
 Sinaloa ,SE29694
 Sonora ,SE29695
 Tabasco ,SE29696
 Tamaulipas ,SE29697
 Tlaxcala ,SE29698
 Veracruz ,SE29699
 Yucatán ,SE29700
 Zacatecas ,SE29701
